time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-12-01,2,-53.7,-76.3,-67.7,-62.8,-86.1,-78.6,0.0,0.0,0.0,14.0,21.9,13,8.96,0.001
2024-12-02,3,-56.6,-76.5,-69.1,-65.5,-84.9,-78.1,0.0,0.0,0.0,6.2,12.5,228,8.84,0.001
2024-12-03,3,-53.9,-65.8,-62.4,-64.3,-74.6,-71.2,0.0,0.0,0.0,6.5,13.0,26,8.42,0.001
2024-12-04,2,-53.7,-67.6,-62.9,-64.6,-78.3,-73.4,0.0,0.0,0.0,9.6,17.9,264,8.43,0.001
2024-12-05,71,-55.5,-67.1,-63.4,-67.3,-75.9,-73.3,0.0,0.083,3.0,9.8,17.7,266,6.38,0.001
2024-12-06,71,-59.5,-78.0,-70.1,-71.7,-88.9,-80.8,0.0,0.083,2.0,12.2,19.5,10,8.51,0.001
2024-12-07,0,-65.7,-80.3,-74.5,-74.9,-88.6,-82.9,0.0,0.0,0.0,3.9,11.0,146,8.85,0.001
2024-12-08,0,-61.1,-77.8,-72.8,-69.4,-86.5,-81.3,0.0,0.0,0.0,3.7,10.3,63,8.69,0.001
2024-12-09,3,-59.3,-77.6,-70.8,-68.1,-86.7,-79.6,0.0,0.0,0.0,6.8,10.1,45,6.16,0.001
2024-12-10,3,-58.3,-70.7,-65.6,-66.5,-80.0,-75.1,0.0,0.0,0.0,7.7,12.1,31,6.35,0.001
2024-12-11,3,-59.9,-72.6,-67.6,-69.2,-81.5,-76.9,0.0,0.0,0.0,10.6,18.3,229,6.22,0.001
2024-12-12,3,-59.7,-81.9,-72.4,-72.7,-90.1,-83.2,0.0,0.0,0.0,13.0,21.3,270,7.89,0.001
2024-12-13,0,-66.4,-86.1,-78.2,-77.9,-94.4,-87.6,0.0,0.0,0.0,8.9,16.3,231,8.58,0.0
2024-12-14,0,-65.5,-83.2,-76.2,-77.1,-92.3,-85.7,0.0,0.0,0.0,10.0,17.0,226,8.59,0.0
2024-12-15,3,-64.5,-82.0,-76.0,-72.8,-90.0,-84.3,0.0,0.0,0.0,4.2,10.1,173,8.56,0.001
2024-12-16,2,-63.5,-81.7,-75.1,-72.1,-91.0,-83.9,0.0,0.0,0.0,6.0,9.6,48,8.44,0.001
2024-12-17,3,-63.2,-83.3,-74.4,-71.9,-93.4,-83.9,0.0,0.0,0.0,8.3,13.2,45,8.4,0.001
2024-12-18,71,-64.1,-78.2,-72.5,-74.3,-86.7,-81.1,0.0,0.165,5.0,6.1,12.5,54,4.33,0.0
2024-12-19,3,-65.1,-84.4,-76.4,-73.6,-92.5,-85.9,0.0,0.0,0.0,10.6,19.2,255,7.88,0.0
2024-12-20,1,-72.0,-87.5,-81.9,-83.6,-96.3,-91.6,0.0,0.0,0.0,9.4,17.2,357,8.75,0.0
2024-12-21,0,-68.8,-90.3,-82.7,-76.7,-98.1,-91.0,0.0,0.0,0.0,4.2,10.5,37,8.75,0.0
2024-12-22,3,-62.0,-86.2,-77.5,-70.4,-95.1,-85.9,0.0,0.0,0.0,4.9,8.1,49,8.72,0.001
2024-12-23,3,-61.5,-77.7,-72.0,-69.5,-87.6,-81.8,0.0,0.0,0.0,10.9,18.8,225,8.37,0.001
2024-12-24,0,-64.3,-81.8,-75.0,-76.0,-90.4,-84.5,0.0,0.0,0.0,11.2,20.4,232,8.61,0.001
2024-12-25,3,-66.0,-84.2,-77.2,-77.3,-92.3,-86.6,0.0,0.0,0.0,8.8,17.4,324,8.49,0.0
2024-12-26,3,-68.3,-84.9,-77.6,-79.8,-95.0,-88.3,0.0,0.0,0.0,12.3,21.5,275,8.58,0.0
2024-12-27,0,-69.8,-85.8,-78.4,-79.8,-94.0,-89.0,0.0,0.0,0.0,13.8,22.4,241,8.69,0.0
2024-12-28,3,-62.3,-81.3,-75.6,-75.6,-90.3,-85.8,0.0,0.0,0.0,15.1,25.5,235,8.78,0.001
2024-12-29,0,-61.3,-80.2,-72.1,-72.6,-89.1,-82.1,0.0,0.0,0.0,14.8,24.6,238,8.85,0.001
2024-12-30,0,-62.3,-81.7,-74.1,-70.2,-89.7,-82.8,0.0,0.0,0.0,4.9,10.5,224,8.81,0.001
2024-12-31,3,-60.8,-78.3,-71.9,-69.2,-86.7,-80.4,0.0,0.0,0.0,5.1,9.4,82,8.77,0.001
2025-01-01,1,-60.3,-81.5,-72.8,-69.3,-89.7,-82.1,0.0,0.0,0.0,7.6,14.1,34,8.92,0.001
2025-01-02,1,-64.7,-84.8,-76.7,-75.0,-93.1,-85.6,0.0,0.0,0.0,8.0,14.3,232,8.98,0.001
2025-01-03,3,-59.6,-80.9,-72.2,-71.3,-89.5,-81.0,0.0,0.0,0.0,9.6,17.2,239,8.21,0.001
2025-01-04,3,-58.7,-78.0,-68.5,-71.2,-86.4,-78.9,0.0,0.0,0.0,13.6,21.5,242,8.11,0.001
2025-01-05,0,-60.5,-82.7,-73.4,-72.7,-91.3,-82.8,0.0,0.0,0.0,10.8,19.5,290,9.11,0.001
2025-01-06,2,-59.4,-79.0,-70.7,-72.4,-89.2,-81.6,0.0,0.0,0.0,17.3,28.4,259,9.02,0.001
2025-01-07,3,-57.3,-82.3,-72.2,-70.8,-91.2,-82.8,0.0,0.0,0.0,17.7,30.2,349,9.0,0.001
2025-01-08,2,-68.9,-86.0,-78.6,-77.5,-95.9,-87.9,0.0,0.0,0.0,5.9,10.3,30,9.43,0.001
